"station","latitude","longitude","elevation","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"AE000041196",25.333,55.517,34,32.01,35.26,34.06,35.7,37.17,36.2,35.6,NA,NA,NA,NA,NA,NA,NA
"AEM00041194",25.255,55.364,10.4,32.83,35.83,35.1,36.76,38.1,37.2,36.31,38.43,37.39,37.01,37.56,36.77,37.22,36.33
"AEM00041217",24.433,54.651,26.8,32.57,34.33,34.37,36.83,36.76,36.43,36.01,38.11,36.14,36.99,36.77,36.67,38.1,36.26
"AEM00041218",24.262,55.609,264.9,33.61,37.7,36.31,37.39,39.66,38.36,36.63,39.06,38.39,37.57,37.44,35.47,38.7,36.01
"BA000041150",26.267,50.65,2,33.74,33.99,34.91,35.9,37.19,37.3,36.91,37.74,37.69,38.47,36.61,35.83,36.62,35.83
"CD000004750",9.15,18.38,0,33.63,32.64,28.43,28.98,28.3,28.01,28.01,27.96,27.57,27.13,26.46,27.26,26.28,26.96
"CD000004756",13.85,20.85,549,39.03,39.6,38.58,34.4,36.09,33.79,33.14,30.77,29.04,28.51,27.54,27.49,29.02,28.9
"CD000004758",12.18,18.68,430,37.9,35.9,36.47,33.9,33.73,32.78,30.76,30.09,29.76,28.48,27.3,28.33,27.78,27.88
"CD000064706",8.567,16.067,429,32.86,31.03,29.01,28.13,28.13,28.9,27.57,27.04,27.64,27.64,27.06,28.1,25.95,26.46
"CD000064751",13.217,18.317,334,41.13,38.98,39.13,NA,34.7,31.7,32.36,31.1,29.66,28.17,27.3,27.95,28.9,28.5
"CD000064753",18,19.167,234,41.8,42.55,42.25,40.84,41.98,40.9,39.9,NA,38.42,39,35.28,33.84,34.43,36.5
"CD000064754",11.033,20.283,436,37.05,34.77,36.1,NA,31.62,32.45,30.53,29.82,29.8,28.95,29.04,27.7,27.68,27.73
"CF000064459",1.617,18.067,327,28.38,28.92,28.4,27.61,27.57,27.13,27.86,27.27,27.79,27.34,26.67,26.85,28.4,26.5
"CGM00064235",-5.9,22.469,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGM00064247",-6.167,23.617,677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CT000004600",4.22,15.78,583,25.93,25.53,25.47,24.53,25.43,25,24.29,24.69,24.36,24.31,24.31,24.37,23.72,23.86
"CTM00064601",5.967,15.633,1020,24.77,24.76,24.14,23.14,24.81,23.1,23.14,22.51,22.91,22.97,22.11,22.9,21.92,21.6
"CTM00064650",4.398,18.519,368.2,27.47,27.93,27.09,26.27,27.23,26.53,26.57,25.67,26.26,26.2,26.13,27.06,24.27,24.31
"EG000062414",23.9667,32.7831,200,35.41,34.74,39,37.23,38.2,37.5,36.59,37.96,37.41,37.53,35.94,36.16,36.63,37.01
"EG000062432",25.4831,29,107,NA,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA
"EG000062463",27.15,33.7167,16,33.2,31.36,34.11,34.67,35.06,35.64,33.99,35.94,35.64,35.6,35.17,35.57,35.07,34.71
"EGM00062337",31.073,33.836,36.9,27.06,25.16,28.81,29.46,28.3,28.74,29.93,30.62,30.99,30.83,30.43,30.09,31,30.16
"EGM00062387",28.083,30.733,40,31.34,28.51,32.21,32.31,31.9,31.94,31.1,33.41,32.34,32.04,32.36,31.27,31.02,31.96
"EGM00062403",26.2,32.75,96,38.93,36.83,39.61,39.43,39.49,39.17,38.51,39.44,38.44,39.26,38.41,39.38,NA,38.02
"EGM00062435",25.45,30.533,73,35.17,32.34,36.09,35.33,35.21,35.56,34.03,36.31,35.29,36.04,35.34,36.84,34.75,36.41
"EGM00062476",23.133,35.583,21,31.39,30.91,32.66,32.93,34.39,33.29,33.56,35.31,34.5,35.04,36.23,35.19,34.25,34.33
"ET000063331",12.55,37.417,1967,NA,NA,NA,NA,NA,NA,NA,NA,21.4,NA,NA,NA,NA,NA
"ET000063333",11.117,39.733,1903,NA,26.2,28.8,27.85,NA,NA,NA,NA,21.8,22.8,NA,NA,NA,NA
"ET000063402",7.667,36.833,1725,NA,NA,NA,NA,NA,NA,NA,NA,19.9,23.1,NA,NA,NA,NA
"ET000063403",8.15,35.533,2002,NA,NA,19.5,NA,NA,NA,NA,NA,17.6,20.3,NA,NA,NA,NA
"ET000063450",9.033,38.75,2354,19.71,20.17,20.14,18.37,17.26,16.79,17.47,15.77,16.31,17.31,16.29,16.49,16.33,15.49
"ET000063471",9.6,41.85,1260,NA,NA,32.1,29.75,NA,30.8,28.4,28.8,26.32,26.57,NA,NA,24.2,NA
"FSM00061968",-11.583,47.283,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRM00040831",30.371,48.228,3,34.59,37.74,37.03,37.29,40.39,38.86,38.41,40.31,39.53,39.43,38.39,38.8,39.5,38.26
"IRM00040845",29.267,50.267,3,32.7,33.6,34.83,35.59,37.01,36.71,36.4,37.59,37.4,37.39,36.27,35.71,37.17,36.2
